trial,objective,episodes,env_steps,wall_s,params
63,21.7881,1,4500,60.0,"{""werr"": [10.650458875311656, 3477.4057660496364, 385.3673742361788, 6.621640696324057, 6.392112584497744, 0.3094242595189928, 2.3839266595648123, 3000.938994671052, 325.1745656376127, 52.27625474610376, 0.711061203303233, 111.53846106531974], ""wu"": [0.050810966726524597]}"
64,8689.27,1,4500,59.8,"{""werr"": [1.8543328591458788, 2028.665791153603, 91.9156686880608, 5.3682718427256315, 9.110391547816125, 0.10523795427990791, 2.2532969629716413, 607.8252264231068, 337.437456214873, 49.717371105160545, 0.8567252165943008, 26.558409780478357], ""wu"": [0.035309008840344575]}"
65,32141.5,1,4500,60.0,"{""werr"": [1.0238953988279487, 612.4454675121174, 318.53529661617716, 10.97574300558497, 6.7619966220508525, 0.2639747930615648, 1.481402650017985, 447.42879083861806, 196.76043878289275, 17.82159975760929, 1.2752615416339055, 118.69797273226403], ""wu"": [0.01703969831028215]}"
66,1087.72,1,4500,59.9,"{""werr"": [9.451206066965494, 3038.9106163106376, 29.81245798664754, 1.5539799863974602, 18.421790390558606, 0.40232640026800265, 5.086719926154728, 3238.6238227240974, 1.3765442887071464, 86.18739420841432, 0.4113101993608886, 59.6711184259647], ""wu"": [0.02454266803259682]}"
67,4659.03,1,4500,59.9,"{""werr"": [0.4710813226502868, 568.5517640084764, 514.9370845655876, 6.018402157779519, 2.626673960200528, 0.33117650602075693, 0.9358921424591022, 1946.611851718891, 68.47073361624622, 23.178810677389748, 0.19109600114079847, 36.10828760627936], ""wu"": [0.011942790751421961]}"
68,10649.1,1,4500,60.3,"{""werr"": [0.22984821020395185, 1660.5059745322462, 212.8338586397862, 2.6699435613740397, 7.196539552028426, 0.6931282662518944, 16.506415907858788, 1138.2009908514872, 481.0326487215803, 9.704067577089843, 0.7654066946928583, 87.3522714858228], ""wu"": [0.045827283021279704]}"
69,131252,1,4500,59.8,"{""werr"": [66.81050969042022, 340.17091243500676, 359.77219679264795, 3.626567451760588, 4333.319107381026, 0.18023281168620298, 0.37431396582725013, 4683.166829903818, 914.4347962554326, 52.62046597514163, 0.28037129086266216, 241.2927089726115], ""wu"": [4.422542870516674]}"
70,1441.73,1,4500,60.0,"{""werr"": [2.164639017663634, 4858.039516832254, 42.39047576679643, 39.101246554491865, 27.768403974042403, 0.10368284194454604, 2.6203691079636338, 1698.8003550566962, 103.71969663482618, 195.19176757874703, 0.13714447978179892, 487.43679830737887], ""wu"": [0.00959353186383554]}"
71,23854,1,4500,59.7,"{""werr"": [15.095697125266462, 841.7571090003447, 12.276244157653561, 21.4116861175202, 1.2649927262287592, 0.6763443732392947, 4.198752263510596, 3436.2172477613126, 3385.198768290075, 68.41193567776727, 1.425872745945067, 128.96389982510985], ""wu"": [0.11847657644173885]}"
72,321.68,1,4500,61.2,"{""werr"": [4351.242911053388, 3594.423867258044, 677.3307390264497, 155.31445904236048, 0.6723376123557543, 1.6234405687995657, 7.7466098636876435, 2571.2819298904556, 735.3766195038049, 386.85606153433906, 0.43420312982965736, 1038.7862160127986], ""wu"": [0.05221896118234427]}"
